"year","month","st_thomas_st_john","st_croix","usvi_total","arrival_type"
2014,"May",50664,11679,62343,"air"
2014,"May",107436,2262,107436,"cruise"
2014,"May",107436,2262,107436,"cruise"
2014,"June",54195,10422,64617,"air"
2014,"June",118619,4833,123452,"cruise"
2014,"June",118619,4833,123452,"cruise"
2014,"July",57207,11556,68763,"air"
2014,"July",146418,5417,148897,"cruise"
2014,"July",146418,5417,148897,"cruise"
2014,"August",43511,8944,52455,"air"
2014,"August",113437,4700,117937,"cruise"
2014,"August",113437,4700,117937,"cruise"
2014,"September",22058,6404,28462,"air"
2014,"September",91806,2258,94064,"cruise"
2014,"September",91806,2258,94064,"cruise"
2014,"October",31947,7858,39806,"air"
2014,"October",93978,6551,100529,"cruise"
2014,"October",93978,6551,100529,"cruise"
2014,"November",44581,9147,53728,"air"
2014,"November",191839,11043,202882,"cruise"
2014,"November",191839,15310,202882,"cruise"
2014,"December",601944,128423,730367,"air"
2014,"December",1979926,127238,2083890,"cruise"
2014,"December",1979926,138055,2083890,"cruise"
2015,"February",59457,12638,72094,"air"
2015,"February",59457,12638,72094,"air"
2015,"February",210642,15920,223804,"cruise"
2015,"February",210642,15920,223804,"cruise"
2015,"March",69853,14202,84055,"air"
2015,"March",69853,14202,84055,"air"
2015,"March",216418,22402,234400,"cruise"
2015,"March",216418,22402,234400,"cruise"
2015,"April",60820,12551,73371,"air"
2015,"April",60820,12218,73039,"air"
2015,"April",185296,14702,197802,"cruise"
2015,"April",185296,14702,197802,"cruise"
2015,"May",55642,13526,69169,"air"
2015,"May",55642,13100,68742,"air"
2015,"May",82538,3454,85992,"cruise"
2015,"May",82538,3454,85992,"cruise"
2015,"June",55106,14373,69479,"air"
2015,"June",55106,12582,67688,"air"
2015,"June",108704,3445,112149,"cruise"
2015,"June",108704,3445,90638,"cruise"
2015,"July",56251,15448,71699,"air"
2015,"July",56251,13645,69896,"air"
2015,"July",92270,7251,99521,"cruise"
2015,"July",92270,7251,-0.5,"cruise"
2015,"August",44000,11804,55804,"air"
2015,"August",42628,8966,51594,"air"
2015,"August",75634,3563,79197,"cruise"
2015,"August",75634,3563,12.2,"cruise"
2015,"September",22321,8953,31274,"air"
2015,"September",24159,8538,32697,"air"
2015,"September",92736,6497,99233,"cruise"
2015,"September",92736,6497,99233,"cruise"
2015,"October",30767,9372,40139,"air"
2015,"October",32185,8637,40823,"air"
2015,"October",109558,3218,112776,"cruise"
2015,"October",109558,3218,112776,"cruise"
2015,"November",42628,9989,52617,"air"
2015,"November",44379,9516,53895,"air"
2015,"November",184952,14491,199443,"cruise"
2015,"November",184952,21142,199443,"cruise"
2015,"December",618014,151143,769158,"air"
2015,"December",622790,141384,764174,"air"
2015,"December",1747596,142743,1878847,"cruise"
2015,"December",1747596,159353,1878847,"cruise"
2016,"February",57308,14280,71587,"air"
2016,"February",57308,14280,71587,"air"
2016,"February",190738,22404,206594,"cruise"
2016,"February",190738,22404,206594,"cruise"
2016,"March",71456,16207,87663,"air"
2016,"March",71456,16207,87663,"air"
2016,"March",203149,11629,214778,"cruise"
2016,"March",203149,18606,214778,"cruise"
2016,"April",57458,11994,69453,"air"
2016,"April",57458,11994,69453,"air"
2016,"April",179676,14821,187660,"cruise"
2016,"April",179676,14821,187660,"cruise"
2016,"May",52321,13124,65445,"air"
2016,"May",52321,13124,65445,"air"
2016,"May",111383,3288,111383,"cruise"
2016,"May",111383,3288,-14,"cruise"
2016,"June",57159,12851,70010,"air"
2016,"June",57159,12851,70010,"air"
2016,"June",90638,0,-19.2,"cruise"
2016,"June",90638,NA,90638,"cruise"
2016,"July",62384,13314,75698,"air"
2016,"July",62384,13314,75698,"air"
2016,"July",99058,99521,198579,"cruise"
2016,"July",99058,NA,99058,"cruise"
2016,"August",48734,10545,59279,"air"
2016,"August",48734,10545,59279,"air"
2016,"August",88877,79197,168074,"cruise"
2016,"August",88877,NA,88877,"cruise"
2016,"September",30466,8504,38970,"air"
2016,"September",30466,8504,38970,"air"
2016,"September",81577,3380,84957,"cruise"
2016,"September",81577,3380,84957,"cruise"
2016,"October",37909,8369,46279,"air"
2016,"October",37909,8369,46279,"air"
2016,"October",93053,2162,95215,"cruise"
2016,"October",93053,NA,93053,"cruise"
2016,"November",45536,11124,56660,"air"
2016,"November",45536,11124,56660,"air"
2016,"November",155245,11258,166503,"cruise"
2016,"November",155245,11258,166503,"cruise"
2016,"December",646260,150629,796889,"air"
2016,"December",646260,150629,796889,"air"
2016,"December",1694058,110161,1776735,"cruise"
2016,"December",1694058,117138,1776735,"cruise"
2017,"February",59985,14779,74763,"air"
2017,"February",59985,14779,74763,"air"
2017,"February",154515,4595,159110,"cruise"
2017,"February",155743,4595,160338,"cruise"
2017,"March",70197,16516,86713,"air"
2017,"March",70197,16516,86713,"air"
2017,"March",190430,5835,196265,"cruise"
2017,"March",192134,5835,197969,"cruise"
2017,"April",65089,13559,78649,"air"
2017,"April",65089,13559,78649,"air"
2017,"April",140504,7013,147517,"cruise"
2017,"April",141371,7013,148384,"cruise"
2017,"May",51321,13157,64478,"air"
2017,"May",51321,13157,64478,"air"
2017,"May",95768,111383,207151,"cruise"
2017,"May",96345,2852,-4.8,"cruise"
2017,"June",58099,12854,70953,"air"
2017,"June",58099,12854,70953,"air"
2017,"June",71985,NA,71985,"cruise"
2017,"June",72458,NA,72458,"cruise"
2017,"July",60353,13741,74094,"air"
2017,"July",60353,13741,74094,"air"
2017,"July",80645,NA,80645,"cruise"
2017,"July",81166,NA,81166,"cruise"
2017,"August",45792,10788,56580,"air"
2017,"August",45792,10788,56580,"air"
2017,"August",109160,NA,109160,"cruise"
2017,"August",110132,NA,110132,"cruise"
2017,"September",1004,2057,3061,"air"
2017,"September",1004,9133,3061,"air"
2017,"September",3594,3224,6818,"cruise"
2017,"September",6060,2841,86472,"cruise"
2017,"October",7084,2926,10011,"air"
2017,"October",7084,2926,10011,"air"
2017,"October",2162,NA,2162,"cruise"
2017,"November",11056,4845,15901,"air"
2017,"November",11056,4845,15901,"air"
2017,"November",68699,1224,69923,"cruise"
2017,"November",69423,1224,70647,"cruise"
2017,"December",506206,130606,636812,"air"
2017,"December",506206,130606,636812,"air"
2017,"December",1271669,32634,1304303,"cruise"
2017,"December",1284604,32634,1317238,"cruise"
2018,"February",17265,12368,29632,"air"
2018,"February",17677,12853,30530,"air"
2018,"February",123823,5510,129333,"cruise"
2018,"February",123823,5510,129333,"cruise"
2018,"March",23775,14716,38491,"air"
2018,"March",24185,15200,39386,"air"
2018,"March",132825,3826,136651,"cruise"
2018,"March",132825,3826,136651,"cruise"
2018,"April",25708,12673,38382,"air"
2018,"April",26158,13204,39362,"air"
2018,"April",95448,14493,107460,"cruise"
2018,"April",95448,14493,107460,"cruise"
2018,"May",25428,12974,38402,"air"
2018,"May",25889,13517,39406,"air"
2018,"May",92313,96345,188658,"cruise"
2018,"May",92313,2852,54003,"cruise"
2018,"June",30946,14602,45548,"air"
2018,"June",31567,15334,46901,"air"
2018,"June",71482,NA,71482,"cruise"
2018,"June",71482,1617,58.9,"cruise"
2018,"July",31612,13125,44737,"air"
2018,"July",32234,13858,46092,"air"
2018,"July",87199,NA,87199,"cruise"
2018,"July",87199,0,3.7,"cruise"
2018,"August",29041,12062,41103,"air"
2018,"August",29785,12938,42724,"air"
2018,"August",81431,NA,81431,"cruise"
2018,"August",81431,0,-14.5,"cruise"
2018,"September",19735,3061,28868,"air"
2018,"September",20195,9675,28868,"air"
2018,"September",83631,NA,83631,"cruise"
2018,"September",83631,2841,83631,"cruise"
2018,"October",23787,10386,34174,"air"
2018,"October",24284,10972,35256,"air"
2018,"October",110611,2171,112782,"cruise"
2018,"November",33833,12907,46740,"air"
2018,"November",34300,13457,47757,"air"
2018,"November",171912,9096,181008,"cruise"
2018,"November",171912,9096,181008,"cruise"
2018,"December",321928,155912,477840,"air"
2018,"December",328015,163083,491098,"air"
2018,"December",1366390,79689,1430702,"cruise"
2018,"December",1366390,79689,1430702,"cruise"
2019,"February",43304,15275,58580,"air"
2019,"February",43304,15275,58580,"air"
2019,"February",136456,9745,146201,"cruise"
2019,"February",136456,9745,146201,"cruise"
2019,"March",54013,16635,70648,"air"
2019,"March",54013,16635,70648,"air"
2019,"March",152878,4380,157258,"cruise"
2019,"March",152878,4380,78078,"cruise"
2019,"April",29363,13955,43317,"air"
2019,"April",29363,13955,43317,"air"
2019,"April",108081,4417,109997,"cruise"
2019,"April",108081,0,108081,"cruise"
2019,"May",41168,15052,56220,"air"
2019,"May",41168,15052,56220,"air"
2019,"May",54003,0,-41.1,"cruise"
2019,"May",54003,0,54003,"cruise"
2019,"June",48272,13710,61982,"air"
2019,"June",48272,13710,61982,"air"
2019,"June",111940,71482,183422,"cruise"
2019,"June",111940,0,111940,"cruise"
2019,"July",47617,13963,61579,"air"
2019,"July",47617,13963,61579,"air"
2019,"July",90421,87199,177620,"cruise"
2019,"July",90421,0,90421,"cruise"
2019,"August",37983,10393,48376,"air"
2019,"August",37983,10393,48376,"air"
2019,"August",69656,81431,151087,"cruise"
2019,"August",69656,0,69656,"cruise"
2019,"September",19685,8125,27810,"air"
2019,"September",19685,8125,27810,"air"
2019,"September",52790,4384,52790,"cruise"
2019,"September",52790,0,52790,"cruise"
2019,"October",24310,6718,31027,"air"
2019,"October",24310,6718,31027,"air"
2019,"October",116508,2815,116508,"cruise"
2019,"October",116508,0,116508,"cruise"
2019,"November",37091,11308,48398,"air"
2019,"November",37091,11308,48398,"air"
2019,"November",128230,5882,134112,"cruise"
2019,"November",128230,0,128230,"cruise"
2019,"December",480681,160205,640887,"air"
2019,"December",480681,160205,640887,"air"
2019,"December",1391802,54827,1433122,"cruise"
2019,"December",1391802,54827,1433122,"cruise"
2020,"February",55530,11137,66668,"air"
2020,"February",55530,11137,66668,"air"
2020,"February",175321,7540,181232,"cruise"
2020,"February",175321,7540,182861,"cruise"
2020,"March",30127,5869,35996,"air"
2020,"March",30127,5869,35996,"air"
2020,"March",78078,0,-50.4,"cruise"
2020,"March",78078,0,78078,"cruise"
2020,"April",1475,1174,2649,"air"
2020,"April",1475,1174,2649,"air"
2020,"April",109997,0,109997,"cruise"
2020,"April",0,0,0,"cruise"
2020,"May",4550,2761,7311,"air"
2020,"May",4550,2761,7311,"air"
2020,"May",54003,0,54003,"cruise"
2020,"May",0,0,0,"cruise"
2020,"June",16305,6624,22929,"air"
2020,"June",16305,6624,22929,"air"
2020,"June",113557,0,113557,"cruise"
2020,"June",0,0,0,"cruise"
2020,"July",34621,9376,43997,"air"
2020,"July",34621,9376,43997,"air"
2020,"July",90421,0,90421,"cruise"
2020,"July",0,NA,0,"cruise"
2020,"August",23631,5904,29535,"air"
2020,"August",23631,5904,29535,"air"
2020,"August",69656,0,69656,"cruise"
2020,"August",1221,0,1221,"cruise"
2020,"September",8691,4870,13561,"air"
2020,"September",8691,4870,13561,"air"
2020,"September",52790,0,52790,"cruise"
2020,"September",2620,0,2620,"cruise"
2020,"October",23431,4581,28012,"air"
2020,"October",23431,4581,28012,"air"
2020,"October",116508,0,116508,"cruise"
2020,"October",0,NA,0,"cruise"
2020,"November",31190,7427,38617,"air"
2020,"November",31190,7427,38617,"air"
2020,"November",134112,0,134112,"cruise"
2020,"November",6306,0,6306,"cruise"
2020,"December",326244,89505,415749,"air"
2020,"December",326244,89505,415749,"air"
2020,"December",424583,17444,440398,"cruise"
2020,"December",424583,17444,442027,"cruise"
2021,"February",41476,8656,50132,"air"
2021,"February",41476,8656,50132,"air"
2021,"February",0,0,0,"cruise"
2021,"March",62528,15170,77698,"air"
2021,"March",62528,15170,77698,"air"
2021,"March",0,0,0,"cruise"
2021,"April",60695,11353,72047,"air"
2021,"April",60695,11353,72047,"air"
2021,"April",0,0,0,"cruise"
2021,"May",68455,13934,82388,"air"
2021,"May",68455,13934,82388,"air"
2021,"May",0,0,0,"cruise"
2021,"June",74472,17440,91911,"air"
2021,"June",74472,17440,91911,"air"
2021,"June",0,0,0,"cruise"
2021,"July",78197,18891,97089,"air"
2021,"July",78197,18891,97089,"air"
2021,"July",4374,NA,4374,"cruise"
2021,"August",53803,10589,64392,"air"
2021,"August",53803,10589,64392,"air"
2021,"August",9330,0,9330,"cruise"
2021,"September",31349,7273,38622,"air"
2021,"September",31349,7273,38622,"air"
2021,"September",12649,0,12649,"cruise"
2021,"October",41198,9213,50412,"air"
2021,"October",41198,9213,50412,"air"
2021,"October",21575,0,21575,"cruise"
2021,"November",52769,11789,64558,"air"
2021,"November",52769,11789,64558,"air"
2021,"November",59980,0,59980,"cruise"
2021,"December",671398,148123,819521,"air"
2021,"December",639588,148123,819521,"air"
2021,"December",224698,20997,245695,"cruise"
2022,"February",58319,12910,71229,"air"
2022,"February",58319,12910,71229,"air"
2022,"February",66275,24826,91101,"cruise"
2022,"March",72504,14572,87075,"air"
2022,"March",72504,14572,87075,"air"
2022,"March",106984,12682,207392,"cruise"
2022,"April",67528,12371,79899,"air"
2022,"April",67528,12371,79899,"air"
2022,"April",79092,9689,88781,"cruise"
2022,"May",60056,13475,73530,"air"
2022,"May",60056,13475,73530,"air"
2022,"May",58482,0,58482,"cruise"
2022,"June",65586,12858,78444,"air"
2022,"June",65586,12858,78444,"air"
2022,"June",57159,3444,75990,"cruise"
2022,"July",64903,12606,77510,"air"
2022,"July",64903,12606,77510,"air"
2022,"July",72902,7055,91489,"cruise"
2022,"August",48148,8570,56718,"air"
2022,"August",48148,8570,56718,"air"
2022,"August",86998,0,104744,"cruise"
2022,"September",24481,6926,31407,"air"
2022,"September",24481,6926,31407,"air"
2022,"September",32364,0,42866,"cruise"
2022,"October",33674,10160,43835,"air"
2022,"October",33674,10160,43835,"air"
2022,"October",67379,0,83798,"cruise"
2022,"November",44407,9682,54089,"air"
2022,"November",44407,9682,54089,"air"
2022,"November",86219,20769,130176,"cruise"
2022,"December",653641,138367,792008,"air"
2022,"December",653641,138367,792008,"air"
2022,"December",191524,19026,210550,"cruise"
2023,"February",57184,13771,70956,"air"
2023,"February",57184,13771,70956,"air"
2023,"February",170249,75515,245764,"cruise"
2023,"February",170249,24826,195075,"cruise"
2023,"March",64618,16371,80989,"air"
2023,"March",64618,16371,80989,"air"
2023,"March",167377,40015,73.3,"cruise"
2023,"March",167377,40015,207392,"cruise"
2023,"April",56345,13282,69627,"air"
2023,"April",56345,13282,69627,"air"
2023,"April",152661,16650,169311,"cruise"
2023,"April",152661,16650,169311,"cruise"
2023,"May",49462,16602,66064,"air"
2023,"May",49462,16602,66064,"air"
2023,"May",113666,0,113666,"cruise"
2023,"May",113666,0,136422,"cruise"
2023,"June",55462,14598,70060,"air"
2023,"June",55462,14598,70060,"air"
2023,"June",68196,7794,25.4,"cruise"
2023,"June",68196,7794,75990,"cruise"
2023,"July",59612,15738,75350,"air"
2023,"July",59612,15738,75350,"air"
2023,"July",83605,7884,14.4,"cruise"
2023,"July",83605,7884,91489,"cruise"
2023,"August",40176,10024,50200,"air"
2023,"August",40176,10024,50200,"air"
2023,"August",100788,3956,20.4,"cruise"
2023,"August",100788,3956,87658,"cruise"
2023,"September",24986,6413,31399,"air"
2023,"September",24986,6413,31399,"air"
2023,"September",39240,3626,32.4,"cruise"
2023,"September",39240,3626,76899,"cruise"
2023,"October",34073,9224,43297,"air"
2023,"October",34073,9224,43297,"air"
2023,"October",72801,10997,24.4,"cruise"
2023,"October",72801,10997,83798,"cruise"
2023,"November",48762,12747,61509,"air"
2023,"November",48762,12747,61509,"air"
2023,"November",121152,9024,21.7,"cruise"
2023,"November",121152,9024,130176,"cruise"
2023,"December",618820,163202,782022,"air"
2023,"December",618820,163202,782022,"air"
2023,"December",179313,10388,189701,"cruise"
2023,"December",179313,NA,179313,"cruise"
2024,"February",68950,20779,89729,"air"
2024,"February",187777,9924,197701,"cruise"
2024,"March",83677,22349,106026,"air"
2024,"March",186720,8043,194763,"cruise"
2024,"April",69364,15323,84688,"air"
2024,"April",160609,14214,174823,"cruise"
2024,"May",69408,16583,85992,"air"
2024,"May",123344,13078,20,"cruise"
2024,"June",67986,15000,82986,"air"
2024,"June",93322,13344,106666,"cruise"
2024,"July",64752,15891,80643,"air"
2024,"July",86417,13244,99661,"cruise"
2024,"August",45896,10105,56000,"air"
2024,"August",78493,9165,-16.3,"cruise"
2024,"September",27217,7629,34846,"air"
2024,"September",65728,11171,79.4,"cruise"
2024,"October",36164,7946,44111,"air"
2024,"October",95123,18696,113819,"cruise"
2024,"November",49731,13129,62861,"air"
2024,"November",149486,12075,161561,"cruise"
2024,"December",722321,186400,908721,"air"
2024,"December",135273,NA,135273,"cruise"
